time,symbol,quantity,price
2025-12-09 15:20:17.316969+00,ETHUSDT,0.0032,3139.58
2025-12-09 15:20:17.313636+00,ETHUSDT,0.0024,3139.58
2025-12-09 15:20:17.308706+00,ETHUSDT,0.0024,3139.58
2025-12-09 15:20:17.307919+00,ETHUSDT,0.0024,3139.58
2025-12-09 15:20:17.307212+00,ETHUSDT,0.0024,3139.58
2025-12-09 15:20:17.306499+00,ETHUSDT,0.0024,3139.58
2025-12-09 15:20:17.306009+00,ETHUSDT,0.0024,3139.58
2025-12-09 15:20:17.305264+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:17.304191+00,ETHUSDT,0.0016,3139.58
2025-12-09 15:20:17.303681+00,ETHUSDT,0.0032,3139.58
2025-12-09 15:20:17.30307+00,ETHUSDT,0.0032,3139.58
2025-12-09 15:20:17.301803+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:17.300589+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:17.299384+00,ETHUSDT,0.0032,3139.58
2025-12-09 15:20:17.297783+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:17.296116+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:17.291711+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:17.290952+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:17.290507+00,ETHUSDT,0.0017,3139.58
2025-12-09 15:20:17.28957+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:17.053506+00,BTCUSDT,0.11005,90896.38
2025-12-09 15:20:17.035785+00,ETHUSDT,0.1792,3139.59
2025-12-09 15:20:16.996634+00,BTCUSDT,0.00055,90896.39
2025-12-09 15:20:16.994485+00,ETHUSDT,0.0415,3139.59
2025-12-09 15:20:16.993816+00,ETHUSDT,0.0024,3139.59
2025-12-09 15:20:16.992374+00,ETHUSDT,0.721,3139.59
2025-12-09 15:20:16.991902+00,ETHUSDT,0.0024,3139.59
2025-12-09 15:20:16.990368+00,ETHUSDT,1.56,3139.59
2025-12-09 15:20:16.989944+00,ETHUSDT,0.0024,3139.59
2025-12-09 15:20:16.989698+00,ETHUSDT,0.0024,3139.59
2025-12-09 15:20:16.989446+00,ETHUSDT,0.0024,3139.59
2025-12-09 15:20:16.989148+00,ETHUSDT,0.0024,3139.59
2025-12-09 15:20:16.988825+00,ETHUSDT,0.0032,3139.59
2025-12-09 15:20:16.988454+00,ETHUSDT,1.8648,3139.59
2025-12-09 15:20:16.988039+00,ETHUSDT,1.8648,3139.59
2025-12-09 15:20:16.987743+00,ETHUSDT,1.2,3139.59
2025-12-09 15:20:16.987306+00,ETHUSDT,2.7779,3139.59
2025-12-09 15:20:16.9865+00,BTCUSDT,0.00461,90896.38
2025-12-09 15:20:16.985204+00,BTCUSDT,0.1377,90896.38
2025-12-09 15:20:16.983667+00,BTCUSDT,6e-05,90896.39
2025-12-09 15:20:16.982858+00,BTCUSDT,6e-05,90896.39
2025-12-09 15:20:16.982401+00,BTCUSDT,6e-05,90896.39
2025-12-09 15:20:16.981885+00,BTCUSDT,6e-05,90898
2025-12-09 15:20:16.980886+00,BTCUSDT,6e-05,90898
2025-12-09 15:20:16.979627+00,BTCUSDT,8e-05,90898
2025-12-09 15:20:16.97851+00,BTCUSDT,8e-05,90898
2025-12-09 15:20:16.977692+00,BTCUSDT,8e-05,90898
2025-12-09 15:20:16.976852+00,BTCUSDT,0.0134,90898
2025-12-09 15:20:16.975992+00,BTCUSDT,6e-05,90898.01
2025-12-09 15:20:16.975666+00,BTCUSDT,6e-05,90898.01
2025-12-09 15:20:16.975314+00,BTCUSDT,6e-05,90898.01
2025-12-09 15:20:16.974518+00,BTCUSDT,6e-05,90898.08
2025-12-09 15:20:16.974187+00,BTCUSDT,6e-05,90898.08
2025-12-09 15:20:16.973799+00,BTCUSDT,6e-05,90898.08
2025-12-09 15:20:16.973476+00,BTCUSDT,6e-05,90899.11
2025-12-09 15:20:16.973169+00,BTCUSDT,6e-05,90899.17
2025-12-09 15:20:16.97292+00,BTCUSDT,6e-05,90899.99
2025-12-09 15:20:16.972653+00,BTCUSDT,8e-05,90899.99
2025-12-09 15:20:16.972356+00,BTCUSDT,6e-05,90899.99
2025-12-09 15:20:16.972098+00,BTCUSDT,8e-05,90899.99
2025-12-09 15:20:16.971823+00,BTCUSDT,8e-05,90899.99
2025-12-09 15:20:16.971502+00,BTCUSDT,6e-05,90899.99
2025-12-09 15:20:16.970254+00,BTCUSDT,0.005,90899.99
2025-12-09 15:20:16.969174+00,BTCUSDT,6e-05,90899.99
2025-12-09 15:20:16.968551+00,BTCUSDT,6e-05,90899.99
2025-12-09 15:20:16.96702+00,BTCUSDT,6e-05,90899.99
2025-12-09 15:20:16.965516+00,BTCUSDT,6e-05,90900
2025-12-09 15:20:16.964956+00,BTCUSDT,6e-05,90900
2025-12-09 15:20:16.963942+00,BTCUSDT,6e-05,90900
2025-12-09 15:20:16.961863+00,BTCUSDT,7e-05,90900
2025-12-09 15:20:16.960936+00,BTCUSDT,6e-05,90900
2025-12-09 15:20:16.960304+00,BTCUSDT,6e-05,90900
2025-12-09 15:20:16.959717+00,BTCUSDT,6e-05,90900
2025-12-09 15:20:16.95865+00,BTCUSDT,6e-05,90900
2025-12-09 15:20:16.957784+00,BTCUSDT,8e-05,90900
2025-12-09 15:20:16.95682+00,BTCUSDT,6e-05,90900
2025-12-09 15:20:16.95285+00,BTCUSDT,8e-05,90900
2025-12-09 15:20:16.947387+00,BTCUSDT,0.18562,90900
2025-12-09 15:20:16.946235+00,BTCUSDT,0.17536,90900
2025-12-09 15:20:16.945358+00,BTCUSDT,0.00082,90900
2025-12-09 15:20:16.944646+00,BTCUSDT,0.001,90900
2025-12-09 15:20:16.941562+00,BTCUSDT,6e-05,90900
2025-12-09 15:20:16.94103+00,BTCUSDT,8e-05,90900
2025-12-09 15:20:16.940637+00,BTCUSDT,8e-05,90900
2025-12-09 15:20:16.939735+00,BTCUSDT,8e-05,90900
2025-12-09 15:20:16.939185+00,BTCUSDT,6e-05,90900
